Date,Open,Close,Volume,Ticker,Sector
2/26/2018,60,61.110001,4472100,TMUS,Telecommunication Services
2/27/2018,61.040001,59.939999,4245400,TMUS,Telecommunication Services
2/28/2018,60.52,60.610001,4176200,TMUS,Telecommunication Services
3/1/2018,60.779999,61.900002,5373200,TMUS,Telecommunication Services
3/2/2018,61.580002,62.470001,5207900,TMUS,Telecommunication Services
3/5/2018,62.009998,62.950001,3381000,TMUS,Telecommunication Services
3/6/2018,63.299999,63.560001,3791900,TMUS,Telecommunication Services
3/7/2018,63.57,64.559998,6485500,TMUS,Telecommunication Services
3/8/2018,65,65.059998,2847200,TMUS,Telecommunication Services
3/9/2018,65.300003,65.25,3644000,TMUS,Telecommunication Services
3/12/2018,65.510002,64.550003,2965200,TMUS,Telecommunication Services
3/13/2018,65.510002,64.980003,4421100,TMUS,Telecommunication Services
3/14/2018,65.230003,64.779999,3283600,TMUS,Telecommunication Services
3/15/2018,64.709999,64.709999,2679300,TMUS,Telecommunication Services
3/16/2018,64.440002,64.760002,6054700,TMUS,Telecommunication Services
3/19/2018,64.68,63.220001,3690300,TMUS,Telecommunication Services
3/20/2018,63.32,62.779999,2547800,TMUS,Telecommunication Services
3/21/2018,62.599998,62.59,2577400,TMUS,Telecommunication Services
3/22/2018,61.84,61.25,4103500,TMUS,Telecommunication Services
3/23/2018,61.419998,59.740002,5137700,TMUS,Telecommunication Services
3/26/2018,60.700001,61.389999,3395300,TMUS,Telecommunication Services
3/27/2018,61.66,60.34,2462600,TMUS,Telecommunication Services
3/28/2018,60.549999,60.869999,2589700,TMUS,Telecommunication Services
3/29/2018,60.950001,61.040001,2703100,TMUS,Telecommunication Services
1/2/2019,62.869999,65.260002,4418600,TMUS,Telecommunication Services
1/3/2019,64.550003,65.019997,3390700,TMUS,Telecommunication Services
1/4/2019,65.879997,67.489998,5490200,TMUS,Telecommunication Services
1/7/2019,67.370003,68.440002,4786900,TMUS,Telecommunication Services
1/8/2019,68.669998,67.769997,6052700,TMUS,Telecommunication Services
1/9/2019,68.650002,67.720001,4498600,TMUS,Telecommunication Services
