,Date,Consumer Staples,Information Technology,Ameriprise Financial,Consumer Discretionary,Utilities,Real Estate,Health Care,Materials,Energy,Telecommunication Services,Industrials,S&P
160,8/21/2019,112.02,212.64,127.95,1823.54,124.05,552.1,111.46,19.07,12.42,78.18,85.29,2924.43
161,8/22/2019,111.91,212.46,128.58,1804.66,124.7,554.42,111.61,19.07,12.26,77.79,85.56,2922.95
162,8/23/2019,110.83,202.64,124.49,1749.62,122.81,549.42,109.51,18.01,11.75,76.48,82.53,2847.11
163,8/26/2019,111.99,206.49,126.15,1768.87,124.75,558.68,111.78,17.96,11.63,78.06,83.58,2878.38
164,8/27/2019,112.42,204.16,125.24,1761.83,125.1,557.52,110.73,17.66,11.53,77.12,81.94,2869.16
165,8/28/2019,112.72,205.53,125.85,1764.25,126.04,553.53,110.97,17.86,11.94,77.06,82.45,2887.94
166,8/29/2019,114.08,209.01,128.43,1786.4,126.9,557.72,112.25,18.37,12.2,78.01,84.69,2924.58
167,8/30/2019,114.26,208.74,128.98,1776.29,127.32,556.28,112.97,18.39,11.84,78.05,84.31,2926.46
168,9/3/2019,114.64,205.7,127.2,1789.84,129.5,565.91,113.96,17.92,11.77,77.13,83.15,2906.27
169,9/4/2019,115.91,209.19,129.27,1800.62,128.75,558.49,113.25,18.16,12.11,77.61,83.91,2937.78
170,9/5/2019,115.44,213.28,133.41,1840.72,126.53,551.0,114.6,19.38,12.54,77.83,85.84,2976.0
171,9/6/2019,114.73,213.26,134.75,1833.51,125.7,554.09,114.05,19.54,12.45,79.15,86.3,2978.71
172,9/9/2019,116.33,214.17,137.87,1831.35,122.36,538.21,111.07,20.18,12.9,79.13,87.33,2978.43
173,9/10/2019,116.05,216.7,144.63,1820.55,120.83,531.44,111.1,21.38,12.83,78.38,87.56,2979.39
174,9/11/2019,116.02,223.59,145.57,1822.99,121.25,528.44,111.69,21.99,13.01,79.74,88.38,3000.93
175,9/12/2019,116.92,223.09,146.38,1843.55,121.76,538.88,111.47,21.98,12.58,79.69,89.38,3009.57
176,9/13/2019,117.43,218.75,147.43,1839.34,121.22,536.8,110.89,22.65,12.7,79.4,91.35,3007.39
177,9/16/2019,115.57,219.9,147.43,1807.84,120.98,549.93,110.13,22.97,14.17,79.56,88.76,2997.96
178,9/17/2019,116.51,220.7,146.09,1822.55,121.76,558.91,111.12,21.81,13.07,80.21,89.98,3005.7
179,9/18/2019,117.16,222.77,147.54,1817.46,121.52,561.0,112.72,21.57,13.03,80.12,90.23,3006.73
180,9/19/2019,117.11,220.96,147.29,1821.5,122.38,569.03,114.35,20.99,13.04,81.0,89.42,3006.79
181,9/20/2019,116.98,217.73,145.78,1794.16,122.83,566.45,116.16,20.69,13.18,80.59,89.09,2992.07
182,9/23/2019,117.62,218.72,147.29,1785.3,122.58,581.71,114.18,20.89,13.1,79.96,88.21,2991.78
183,9/24/2019,118.4,217.68,144.9,1741.61,124.87,572.04,113.25,20.05,12.22,79.36,88.3,2966.6
184,9/25/2019,118.47,221.03,145.47,1768.33,124.57,579.25,111.39,20.55,12.32,79.81,89.17,2984.87
185,9/26/2019,118.3,219.89,146.12,1739.84,125.13,583.02,111.82,19.95,11.94,79.0,88.45,2977.62
186,9/27/2019,118.45,218.82,147.54,1725.45,124.24,576.62,112.37,20.26,12.2,77.56,88.14,2961.79
187,9/30/2019,118.68,223.97,147.1,1735.91,124.23,576.8,111.83,20.5,12.27,78.77,88.41,2976.74
188,10/1/2019,117.85,224.59,140.74,1735.65,123.86,569.59,110.96,20.21,11.79,78.2,87.84,2940.25
189,10/2/2019,116.12,218.96,135.34,1713.23,123.15,561.52,107.0,20.07,11.3,76.41,83.69,2887.61
190,10/3/2019,116.31,220.82,135.17,1724.42,123.73,575.75,107.29,19.73,11.66,77.03,83.27,2910.63
191,10/4/2019,118.16,227.01,136.19,1739.65,125.78,581.65,108.2,19.39,11.56,77.99,84.29,2952.01
192,10/7/2019,117.23,227.06,134.73,1732.66,124.57,577.31,107.83,19.2,11.41,78.48,84.85,2938.79
193,10/8/2019,117.58,224.4,129.21,1705.51,123.88,569.5,107.19,18.55,11.09,77.61,84.69,2893.06
194,10/9/2019,118.93,227.03,132.19,1721.99,124.87,575.0,107.3,18.82,11.19,77.79,86.46,2919.4
195,10/10/2019,119.61,230.09,134.01,1720.26,125.05,572.2,106.92,19.34,11.4,78.3,87.34,2938.13
196,10/11/2019,120.24,236.21,138.27,1731.92,123.69,566.61,108.36,20.72,11.74,79.53,87.15,2970.27
197,10/14/2019,119.17,235.87,138.82,1736.43,121.73,567.5,107.9,20.06,11.78,78.63,86.97,2966.15
198,10/15/2019,119.53,235.32,140.22,1767.38,120.8,571.65,109.7,20.17,11.84,79.74,87.88,2995.68
199,10/16/2019,119.42,234.37,139.77,1777.43,121.63,567.89,107.95,20.06,11.62,80.01,89.7,2989.69
200,10/17/2019,119.84,235.28,140.49,1787.48,122.42,571.84,108.46,19.64,11.55,81.05,89.46,2997.95
201,10/18/2019,119.14,236.41,142.0,1757.51,122.41,576.41,108.64,19.55,11.3,81.6,90.09,2986.2
202,10/21/2019,119.74,240.51,144.3,1785.66,122.3,577.35,107.91,19.47,11.53,82.09,90.78,3006.72
203,10/22/2019,119.58,239.96,142.45,1765.73,122.39,569.93,109.84,19.68,11.73,81.67,89.71,2995.99
204,10/23/2019,119.35,243.18,143.47,1762.17,121.94,566.62,107.4,20.17,12.01,81.36,89.9,3004.52
205,10/24/2019,119.1,243.58,149.63,1780.78,122.31,563.34,107.84,19.92,11.94,81.48,89.81,3010.29
206,10/25/2019,119.04,246.58,149.45,1761.33,121.11,565.74,110.2,20.54,11.98,81.62,91.64,3022.55
207,10/28/2019,119.22,249.05,152.81,1777.08,119.56,567.13,112.99,20.58,11.94,82.39,92.19,3039.42
208,10/29/2019,117.15,243.29,153.7,1762.71,119.59,567.52,111.67,20.61,12.01,81.77,91.03,3036.89
209,10/30/2019,118.1,243.26,152.0,1779.99,120.97,571.16,112.72,20.18,11.56,83.27,91.67,3046.77
210,10/31/2019,117.26,248.76,150.89,1776.66,123.27,566.78,113.95,19.88,11.53,82.66,90.84,3037.56
211,11/1/2019,117.62,255.82,152.89,1791.44,122.78,562.24,112.51,20.66,12.05,82.47,91.65,3066.91
212,11/4/2019,117.57,257.5,155.34,1804.66,120.05,543.2,113.11,21.34,12.52,80.92,92.39,3078.27
213,11/5/2019,118.86,257.13,158.29,1801.71,120.09,527.19,111.25,21.65,12.64,81.47,93.12,3074.62
214,11/6/2019,119.5,257.24,157.87,1795.77,121.59,531.88,113.82,20.68,12.18,81.86,93.34,3076.78
215,11/7/2019,120.23,259.43,157.74,1788.2,118.15,522.5,112.77,20.74,12.56,81.86,93.8,3085.18
216,11/8/2019,119.44,260.14,158.54,1785.88,116.3,530.31,113.53,20.81,12.53,80.94,93.44,3093.08
217,11/11/2019,119.04,262.2,158.38,1771.65,115.59,535.0,112.8,20.93,12.16,79.62,93.53,3087.01
218,11/12/2019,119.12,261.96,158.9,1778.0,115.38,531.24,113.17,20.93,12.01,77.43,92.72,3091.84
219,11/13/2019,120.98,264.47,158.39,1753.11,116.93,540.73,112.79,19.68,11.87,77.97,92.42,3094.04
